U23|Clarice User23|user23|6012000023|6012000023|8893186d24cce07e1c82f2e020d41177e699318b4be9535483fdf55edf58cd50|1983-12-24|Harvard House 4|Male|Single|USER|Coding;Basketball|Student
U24|Clarice User24|user24|user24@thefacebook.edu|6012000024|cafdc894eacc597ad76db1a750ccb876d4ed69c73b7d3d23f5e3a9e3b5c9fc2e|1984-01-25|Harvard House 5|Female|In a relationship|USER|Coding;Music|Student
U25|Clarice User25|user25|user25@thefacebook.edu|6012000025|0028e1c0d2c60966390545414567d33bca9f0165fece6d0109c59a3f29b5fdd0|1985-02-01|Harvard House 1|Male|Single|USER|Coding;Basketball|Student
U26|Clarice User26|user26|user26@thefacebook.edu|6012000026|45e17065ddc6fb3a682f7732df5804652952dbe1f5ca5377a661515a8fcf66be|1986-03-02|Harvard House 2|Female|Single|USER|Coding;Music|Student
U27|Clarice User27|user27|user27@thefacebook.edu|6012000027|43b3ec9ea3961a319d37b4cc775d3f43f68709b62a93db10dd6c598137f28732|1987-04-03|Harvard House 3|Male|In a relationship|USER|Coding;Basketball|Student
U28|Clarice User28|user28|user28@thefacebook.edu|6012000028|034a0cdf079dfa3ca924e07e3c509bbf50768d1949b021c0ea0030cff80ba4d1|1988-05-04|Harvard House 4|Female|Single|USER|Coding;Music|Student
U29|Clarice User29|user29|user29@thefacebook.edu|6012000029|53f6f072e26d36b9e55d5dc828872856d5286f18ce3818d367f9e4473e464a66|1989-06-05|Harvard House 5|Male|Single|USER|Coding;Basketball|Student
U30|Clarice User30|user30|user30@thefacebook.edu|6012000030|85fcbe6bf830f23209ea6a932921e8da31a653a24a20cb84e75c4997e505690b|1990-07-06|Harvard House 1|Female|In a relationship|USER|Coding;Music|Student
U31|Clarice User31|user31|user31@thefacebook.edu|6012000031|3b3ad733c8571384c133694595c33d96c638b36f08a484bd0ad38bf312fdb294|1991-08-07|Harvard House 2|Male|Single|USER|Coding;Basketball|Student
U10|Clarice User10|user10|user10@thefacebook.edu|6012000010|b35892cb8b089e03e4420b94df688122a2b76d4ad0f8b94ad20808bb029e48a5|1990-11-11|Harvard House 1|Female|Single|USER|Coding;Music|Student
U32|Clarice User32|user32|user32@thefacebook.edu|6012000032|451a8149ebd58dbd064e3337c6de5d4f4bb08cd70bbbd48d62a205bd706b6bb0|1992-09-08|Harvard House 3|Female|Single|USER|Coding;Music|Student
U11|Clarice User11|user11|user11@thefacebook.edu|6012000011|8057f787ebd8b4f9d40f53d7fbbfcbdde7067c1a074435b68f525b3de0e2ac2b|1991-12-12|Harvard House 2|Male|Single|USER|Coding;Basketball|Student
U12|Clarice User12|user12|user12@thefacebook.edu|6012000012|fdac810d0c09f25c5ddcee9976ab1f1ae1973dba7c65152d95b0937bc2a6c883|1992-01-13|Harvard House 3|Female|In a relationship|USER|Coding;Music|Student
U13|Clarice User13|user13|user13@thefacebook.edu|6012000013|1e53de2a2b4ab888cc24002ef8832d433b21956ab83ddeef989c8224b5c8f9f2|1993-02-14|Harvard House 4|Male|Single|USER|Coding;Basketball|Student
U14|Clarice User14|user14|user14@thefacebook.edu|6012000014|b78f24953963ac5ed773d6ec83120e3b1a65510201dc09ed2ed9e9781ba88870|1994-03-15|Harvard House 5|Female|Single|USER|Coding;Music|Student
U15|Clarice User15|user15|user15@thefacebook.edu|6012000015|b5a4ec869015095060b1171791334513f741177c4011e2c5c36e3e37a5ff8e5f|1995-04-16|Harvard House 1|Male|In a relationship|USER|Coding;Basketball|Student
U16|Clarice User16|user16|user16@thefacebook.edu|6012000016|f0c28ba3fd9e0dcdcd0470acfcb98cc5a58d7d93422dbbefb930455ef714c87d|1996-05-17|Harvard House 2|Female|Single|USER|Coding;Music|Student
U17|Clarice User17|user17|user17@thefacebook.edu|6012000017|4a6b7fa040bcfc734a113fee84d3789c0a626d70d029afad0d1c3e7b6c562e14|1997-06-18|Harvard House 3|Male|Single|USER|Coding;Basketball|Student
U18|Clarice User18|user18|user18@thefacebook.edu|6012000018|b99ddd77e59c96b13b64b3abe1902db4c0a76dabf8622aa6c71f8f5670be6625|1998-07-19|Harvard House 4|Female|In a relationship|USER|Coding;Music|Student
U19|Clarice User19|user19|user19@thefacebook.edu|6012000019|871431053023291d24b403f1f9d761c6f01b3050a0a83cd9d9759a970f8d4d92|1999-08-20|Harvard House 5|Male|Single|USER|Coding;Basketball|Student
U3|Clarice User3|user3|user3@thefacebook.edu|6012000003|3acb59306ef6e660cf832d1d34c4fba3d88d616f0bb5c2a9e0f82d18ef6fc167|1983-04-04|Harvard House 4|Male|In a relationship|USER|Coding;Basketball|Student
U4|Clarice User4|user4|user4@thefacebook.edu|6012000004|a417b5dc3d06d15d91c6687e27fc1705ebc56b3b2d813abe03066e5643fe4e74|1984-05-05|Harvard House 5|Female|Single|USER|Coding;Music|Student
